지하철역,환승가능여부,출근시간대 승차,출근시간대 하차,퇴근시간대 승차,퇴근시간대 하차,유임이용객,무임이용객,유임이용객 비율,무임이용객 비율
을지로4가,Y,23144.916666666664,214986.0833333333,214970.6166666667,46857.8,752797.2,247750.73333333334,0.752,0.248
종합운동장,Y,105418.09999999999,88382.90000000001,99790.28333333333,154319.18333333332,876725.6499999999,123503.18333333332,0.877,0.123
가락시장,Y,96266.73333333334,124481.23333333334,120618.73333333334,118752.18333333332,752282.1,245629.53333333333,0.754,0.246
문정,N,68016.58333333333,250320.63333333333,201704.91666666666,72581.58333333334,899218.6666666667,96070.79999999999,0.903,0.097
도봉산,Y,176142.23333333334,61898.26666666667,73694.13333333333,120547.46666666666,719500.3333333333,271993.8833333333,0.726,0.274
발산,N,72139.68333333332,153103.41666666666,153772.4,104881.4,845641.5333333333,141370.96666666667,0.857,0.143
장지,N,133939.53333333333,106564.31666666665,119755.18333333332,123701.29999999999,854586.1,130750.01666666666,0.867,0.133
암사,N,230863.35,41957.35,61915.683333333334,162301.26666666666,804557.6666666667,180529.36666666667,0.817,0.183
온수(성공회대입구),Y,190463.35,75687.68333333332,72615.2,150284.2,826076.9833333333,155185.03333333333,0.842,0.158
압구정로데오,N,19954.48333333333,175916.41666666666,179133.18333333335,92825.95000000001,903439.9166666667,76194.61666666665,0.922,0.078
서대문,N,55809.33333333333,245204.53333333335,192193.68333333332,63543.049999999996,856016.8833333333,123473.41666666666,0.874,0.126
약수,Y,114035.88333333333,105377.01666666668,109493.25,121627.0,777820.3666666667,196117.55,0.799,0.201
독산,N,103796.68333333332,178804.11666666667,151411.8,99713.98333333334,805956.5333333333,123974.95,0.867,0.133
미아,N,154023.98333333334,70492.33333333334,76480.56666666665,127574.78333333333,702606.4833333334,221870.56666666668,0.76,0.24
남구로,N,94404.41666666667,176847.88333333336,148641.83333333334,95889.21666666667,807170.2833333333,111798.73333333334,0.878,0.122
염창,N,191000.03333333333,40628.86666666667,59981.84999999999,157966.69999999998,795723.3666666667,119591.4,0.869,0.131
신대방삼거리,N,172101.8333333333,67986.05,73156.96666666667,138225.71666666667,741887.0,170597.9166666667,0.813,0.187
사가정,N,159072.59999999998,53892.61666666666,70332.0,145915.86666666664,731317.8166666667,179002.93333333335,0.803,0.197
선정릉,Y,41921.6,199201.25,175958.3333333333,64113.066666666666,796275.5,101349.15,0.887,0.113
면목,N,175875.35000000003,52889.433333333334,62203.31666666666,141288.71666666667,722325.5333333333,171212.25,0.808,0.192
이태원,N,42188.6,63404.46666666666,100839.29999999999,132508.8333333333,819455.05,64200.11666666666,0.927,0.073
잠실나루,N,128766.83333333331,88905.35,87485.38333333333,103856.1,713481.3666666666,160083.51666666666,0.817,0.183
충정로(경기대입구),Y,74537.25,174840.68333333332,146847.6,78196.31666666667,747785.2000000001,124905.99999999999,0.857,0.143
신용산,N,39438.48333333334,173531.51666666666,170245.91666666666,73362.95,776790.9833333334,93152.91666666667,0.893,0.107
국회의사당,N,16794.216666666667,244049.8333333333,211094.66666666666,37384.53333333334,776330.4166666667,92358.71666666667,0.894,0.106
답십리,N,167254.26666666666,67260.41666666666,81685.7,127803.01666666666,718122.95,150376.8,0.827,0.173
한성대입구(삼선교),N,103862.2,79375.09999999999,88487.85,104067.41666666667,720398.2333333334,141494.23333333334,0.836,0.164
봉은사,N,26920.666666666668,163853.33333333334,171964.91666666666,58765.86666666667,780024.8333333333,76068.65,0.911,0.089
숙대입구(갈월),N,65524.53333333333,118914.48333333334,124110.18333333332,89813.41666666666,752833.5166666666,100303.31666666667,0.882,0.118
